Avellaneda,52.48,328980,2001
Avellaneda,52.48,342677,2010
Berazategui,221.01,287913,2001
Berazategui,221.01,324244,2010
Brandsen,1126.02,22515,2001
Brandsen,1126.02,26367,2010
Ezeiza,236.81,118807,2001
Ezeiza,236.81,163722,2010
La Plata,942.23,574369,2001
La Plata,942.23,654324,2010
Lanus,48.35,453082,2001
Lanus,48.35,459263,2010
Lomas De Zamora,87.3,591345,2001
Lomas De Zamora,87.3,616279,2010
Tigre,304.35,301223,2001
Tigre,304.35,376381,2010
Vicente Lopez,33.77,269420,2010
Vicente Lopez,33.77,274082,2001
